Date,Cases
2020-06-29T00:00:00Z,43661
2020-06-30T00:00:00Z,43907
2020-07-01T00:00:00Z,44122
2020-07-02T00:00:00Z,44310
2020-07-03T00:00:00Z,44479
2020-07-04T00:00:00Z,44664
2020-07-05T00:00:00Z,44800
2020-07-06T00:00:00Z,44983
2020-07-07T00:00:00Z,45140
2020-07-08T00:00:00Z,45298
2020-07-09T00:00:00Z,45423
2020-07-10T00:00:00Z,45614
2020-07-11T00:00:00Z,45783
2020-07-12T00:00:00Z,45961
2020-07-13T00:00:00Z,46283
2020-07-14T00:00:00Z,46630
2020-07-15T00:00:00Z,46878
2020-07-16T00:00:00Z,47126
2020-07-17T00:00:00Z,47453
2020-07-18T00:00:00Z,47655
2020-07-19T00:00:00Z,47912
2020-07-20T00:00:00Z,48035
2020-07-21T00:00:00Z,48434
2020-07-22T00:00:00Z,48744
2020-07-23T00:00:00Z,49098
2020-07-24T00:00:00Z,49375
2020-07-25T00:00:00Z,49888
2020-07-26T00:00:00Z,50369
2020-07-27T00:00:00Z,50838
2020-07-28T00:00:00Z,51197
2020-07-29T00:00:00Z,51531
2020-07-30T00:00:00Z,51809
2020-07-31T00:00:00Z,52205
2020-08-01T00:00:00Z,52512
2020-08-02T00:00:00Z,52825
2020-08-03T00:00:00Z,53051
2020-08-04T00:00:00Z,53346
2020-08-05T00:00:00Z,54254
2020-08-06T00:00:00Z,54555
2020-08-07T00:00:00Z,54797
2020-08-08T00:00:00Z,54929
2020-08-09T00:00:00Z,55104
2020-08-10T00:00:00Z,55292
2020-08-11T00:00:00Z,55353
2020-08-12T00:00:00Z,55395
2020-08-13T00:00:00Z,55497
2020-08-14T00:00:00Z,55580
2020-08-15T00:00:00Z,55661
2020-08-16T00:00:00Z,55747
2020-08-17T00:00:00Z,55838
2020-08-18T00:00:00Z,55938
2020-08-19T00:00:00Z,56031
2020-08-20T00:00:00Z,56099
2020-08-21T00:00:00Z,56216
2020-08-22T00:00:00Z,56266
2020-08-23T00:00:00Z,56353
2020-08-24T00:00:00Z,56404
2020-08-25T00:00:00Z,56435
2020-08-26T00:00:00Z,56495
2020-08-27T00:00:00Z,56572
2020-08-28T00:00:00Z,56666
2020-08-29T00:00:00Z,56717
2020-08-30T00:00:00Z,56771
2020-08-31T00:00:00Z,56812
2020-09-01T00:00:00Z,56852
2020-09-02T00:00:00Z,56860
2020-09-03T00:00:00Z,56908
2020-09-04T00:00:00Z,56948
2020-09-05T00:00:00Z,56982
2020-09-06T00:00:00Z,57022
2020-09-07T00:00:00Z,57044
2020-09-08T00:00:00Z,57091
2020-09-09T00:00:00Z,57166
2020-09-10T00:00:00Z,57229
2020-09-11T00:00:00Z,57315
2020-09-12T00:00:00Z,57357
2020-09-13T00:00:00Z,57406
2020-09-14T00:00:00Z,57454
2020-09-15T00:00:00Z,57488
2020-09-16T00:00:00Z,57514
2020-09-17T00:00:00Z,57532
2020-09-18T00:00:00Z,57543
2020-09-19T00:00:00Z,57558
2020-09-20T00:00:00Z,57576
2020-09-21T00:00:00Z,57606
2020-09-22T00:00:00Z,57627
2020-09-23T00:00:00Z,57639
2020-09-24T00:00:00Z,57654
2020-09-25T00:00:00Z,57665
2020-09-26T00:00:00Z,57685
2020-09-27T00:00:00Z,57700
2020-09-28T00:00:00Z,57715
2020-09-29T00:00:00Z,57742
2020-09-30T00:00:00Z,57765
